,path,tt,group,pic_no,individual_im_mean,rm,bm,gm,group_min_im_mean,group_max_im_mean,group_mean,a,b,c,group_min_im_mean_r,group_max_im_mean_r,group_mean_r,a_r,b_r,group_min_im_mean_g,group_max_im_mean_g,group_mean_g,a_g,b_g,group_min_im_mean_b,group_max_im_mean_b,group_mean_b,a_b,b_b,setId
0,../input/train_sm/set327_1.jpeg,train,set327,1,115.647099003,115.2662617381942,116.66175462631405,115.01328064524755,115.5929033,115.726166924,115.66025208020001,0.05419570299999066,0.0790679210000036,0.013153077200016128,114.80616512120214,115.37315919718698,115.0707943711257,0.46009661699206106,0.10689745899277625,115.01328064524755,115.38221155011844,115.16124305531598,0.0,0.36893090487089353,116.62403570397854,116.86359095047352,116.74871881412737,0.03771892233551455,0.20183632415947272,327
1,../input/train_sm/set194_1.jpeg,train,set194,1,136.445595755,139.44145197878902,136.72586622286087,133.1694690637612,136.442660834,136.474477863,136.4577592562,0.002934920999990709,0.02888210800000479,0.012163501200006976,139.41460776762707,139.51530203166692,139.46095976056213,0.026844211161943576,0.07385005287790136,133.1694690637612,133.2469293339823,133.2058327933317,0.0,0.0774602702211098,136.65477970358728,136.72611159626973,136.7064852150398,0.07108651927359233,0.0002453734088589954,194
2,../input/train_sm/set285_4.jpeg,train,set285,4,127.571114899,133.93895189946872,127.24000318112564,121.534389616673,127.55842140000001,127.59097203600001,127.5739680406,0.012693498999979624,0.019857137000016678,0.002853141599999276,133.90559621789654,133.98297012423993,133.9346660466922,0.033355681572174944,0.044018224771207315,121.49661615811851,121.56393764605848,121.5353757809442,0.037773458554482886,0.029548029385480845,127.23465712821506,127.2757337359243,127.25186229429407,0.005346052910581989,0.035730554798661274,285
3,../input/train_sm/set307_4.jpeg,train,set307,4,130.296324484,132.82536063725595,134.4062453975167,123.65736741626787,130.29469614299998,130.312016094,130.3016947664,0.0016283410000141885,0.01569161000000463,0.005370282400008364,132.8215906708781,132.91302738830004,132.85963251110917,0.003769966377859646,0.0876667510440825,123.62734166383676,123.74238909126163,123.68568580692332,0.030025752431114938,0.08502167499375446,134.32545616801,134.4062453975167,134.35976598092483,0.0807892295067063,0.0,307
4,../input/train_sm/set297_4.jpeg,train,set297,4,105.89101594200001,108.62964611698222,104.18577902741035,104.85762268175459,105.888456841,105.91750239299999,105.8999917654,0.0025591010000027836,0.02648645099998248,0.008975823399993033,108.58593110707905,108.64967577042195,108.62545933862364,0.0437150099031669,0.020029653439735284,104.79651977098669,104.98818806354656,104.89158424923771,0.0611029107679002,0.13056538179196764,104.15851995082556,104.24315784354602,104.18293170900169,0.02725907658478377,0.05737881613566742,297
5,../input/train_sm/set35_1.jpeg,train,set35,1,132.575076481,140.1089969187695,133.0076173826347,124.60861514213025,132.52981157600001,132.588055421,132.56522683,0.045264904999982036,0.012978940000010653,-0.009849650999996129,140.1089969187695,140.16032604329698,140.12573793834787,0.0,0.05132912452748428,124.48012357620036,124.60861514213025,124.55854531703969,0.12849156592989175,0.0,132.9797054992601,133.05264200335185,133.01139723472602,0.02791188337459971,0.045024620717157404,35
6,../input/train_sm/set303_4.jpeg,train,set303,4,125.361860705,128.35809831313057,125.9828433970376,121.74464040603137,125.330545784,125.382297174,125.3506494942,0.03131492100000344,0.0204364690000034,-0.011211210799999094,128.27971329242786,128.35809831313057,128.32694582561757,0.07838502070271147,0.0,121.6968888840858,121.77501530639604,121.73016380441565,0.047751521945571085,0.03037490036467716,125.95805333955151,126.03840793530122,125.9948388533769,0.024790057486086425,0.055564538263624286,303
7,../input/train_sm/set59_3.jpeg,train,set59,3,132.22660874,141.848625389345,134.22925524390408,120.60194558529457,132.22660874,132.25533608700002,132.2411464378,0.0,0.028727347000028658,0.014537697800022897,141.69603096995803,141.848625389345,141.76335776895115,0.15259441938695772,0.0,120.47408775057428,120.75413709127352,120.61005729904639,0.1278578347202881,0.15219150597894782,134.22925524390408,134.43109766063242,134.3500242450256,0.0,0.2018424167283399,59
8,../input/train_sm/set274_1.jpeg,train,set274,1,132.253262464,138.41384243549078,133.3136666712835,125.03227828640284,132.175610142,132.253262464,132.2165243814,0.0776523219999774,0.0,-0.03673808259998168,138.2738292425527,138.41384243549078,138.30815725453093,0.14001319293808479,0.0,124.96451086580144,125.05397619226747,125.01430330170813,0.06776742060139895,0.021697905864627387,133.28673250322026,133.3601362563666,133.3271125887178,0.02693416806323512,0.04646958508308785,274
9,../input/train_sm/set307_2.jpeg,train,set307,2,130.308212832,132.91302738830004,134.32545616801,123.68615494049178,130.29469614299998,130.312016094,130.3016947664,0.013516689000027782,0.0038032619999910366,-0.0065180656000052295,132.8215906708781,132.91302738830004,132.85963251110917,0.09143671742194215,0.0,123.62734166383676,123.74238909126163,123.68568580692332,0.05881327665501601,0.056234150769853386,134.32545616801,134.4062453975167,134.35976598092483,0.0,0.0807892295067063,307
